LIST OF STRUCTURAL ATTRIBUTES (SA) AND THEIR CORRELATION WEIGHTS


The total number of SMILES: in train set NsmsTRN=  29  in calibration set NsmsCLB=   7 Nact=124 NactSFk=124

SMILES is used  in the model
ID is number of SA in the completed list of SAs
N1 is the number of SMILES in training set with SA
N2 is the number of SMILES in invisible training set with SA
N3 is the number of SMILES in calibration set with SA

The number of SMILES in training set is 29
The number of SMILES in calibration set is 7

TRN++ : how many times attribute is placed in structures
of the training set where endpoint higher than middle.
TRN-- : how many times attribute is placed in structures
of the training set where endpoint lower than middle.

iTRN++, iTRN--, CLB++, and CLB-- are the analogical data
for invisible training set and calibration set.

 SAk        : CW(SAk)    :        ID  :        N1  :        N2  :        N3  : DEFECT[SAk]: TRN++      : TRN--      : iTRN++     : iTRN--     : CALIB++    : CALIB--    :
=...C...2...:         0.0:          57:           0:           1:           0:      0.0000:           0:           0:           0:           1:           0:           0:
=...N...2...:    -0.00403:          58:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
=...O...(...:     0.45755:          59:           8:          10:           3:      0.0139:           4:           4:           3:           7:           1:           2:
C...#.......:    -0.47130:          60:           5:           0:           1:      0.0049:           1:           4:           0:           0:           0:           1:
C...(.......:    -0.12578:          61:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
C...(.../...:         0.0:          62:           3:           1:           0:      0.0000:           0:           3:           0:           1:           0:           0:
C...(...1...:     0.69005:          63:          11:          17:           4:      0.0128:           5:           6:           6:          11:           0:           4:
C...(...2...:     0.10901:          64:          10:           8:           5:      0.0246:           2:           8:           3:           5:           1:           4:
C...(...=...:     1.27937:          65:          27:          24:           4:      0.0116:           7:          20:           6:          18:           1:           3:
C...(...C...:    -0.96335:          66:           8:           8:           2:      0.0010:           1:           7:           1:           7:           1:           1:
C...........:    -0.23850:          67:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
C.../...(...:     0.13941:          68:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
C.../.......:     0.42593:          69:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
C.../...1...:    -0.13580:          70:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
C...1...(...:         0.0:          71:           1:           0:           0:      0.0000:           0:           1:           0:           0:           0:           0:
C...1.......:     0.07631:          72:          11:          17:           4:      0.0128:           4:           7:           7:          10:           1:           3:
C...1...=...:    -0.89003:          73:          10:          17:           4:      0.0162:           4:           6:           7:          10:           1:           3:
C...1...C...:         0.0:          74:           3:           2:           1:      0.0000:           0:           3:           1:           1:           1:           0:
C...2...(...:    -0.18568:          75:           8:          15:           3:      0.0139:           4:           4:           6:           9:           0:           3:
C...2.......:     1.40167:          76:          15:          18:           6:      0.0162:           5:          10:           7:          11:           1:           5:
C...2...C...:    -0.53931:          77:           8:          15:           3:      0.0139:           4:           4:           6:           9:           0:           3:
C...=...(...:    -0.92656:          78:           8:          11:           2:      0.0010:           4:           4:           4:           7:           0:           2:
C...=.......:     0.46095:          79:           8:          15:           3:      0.0139:           4:           4:           6:           9:           0:           3:
C...=...1...:    -0.55461:          80:           8:          15:           3:      0.0139:           4:           4:           6:           9:           0:           3:
C...=...C...:         0.0:          81:           0:           3:           1:      0.0000:           0:           0:           2:           1:           0:           1:
C...C...(...:    -0.20651:          82:          13:          15:           4:      0.0072:           5:           8:           5:          10:           1:           3:
C...C.......:     0.16169:          83:          14:          18:           6:      0.0187:           5:           9:           7:          11:           1:           5:
C...C...1...:         0.0:          84:           3:           2:           1:      0.0000:           0:           3:           1:           1:           1:           0:
C...C...2...:    -0.37164:          85:          10:          15:           5:      0.0246:           5:           5:           6:           9:           0:           5:
C...C...=...:     0.52012:          86:           8:          15:           3:      0.0139:           4:           4:           6:           9:           0:           3:
C...C...C...:         0.0:          87:           1:           0:           0:      0.0000:           0:           1:           0:           0:           0:           0:
C...N...(...:         0.0:          88:           2:           3:           2:      0.0000:           0:           2:           1:           2:           1:           1:
C...N...C...:    -0.92809:          89:           8:          15:           3:      0.0139:           4:           4:           6:           9:           0:           3:
C...O...(...:     0.15825:          90:           5:          13:           4:      0.0443:           1:           4:           2:          11:           1:           3:
C...c...1...:     1.26692:          91:          11:           7:           2:      0.0072:           1:          10:           2:           5:           1:           1:
C...c...2...:         0.0:          92:           0:           0:           1:      0.0000:           0:           0:           0:           0:           0:           1:
BOND10000000:     1.95249:          93:          24:          29:           6:      0.0010:           7:          17:           8:          21:           1:           5:
BOND11000000:    -0.94458:          94:           5:           0:           1:      0.0049:           1:           4:           0:           0:           0:           1:
F...(...(...:         0.0:          95:           1:           1:           0:      0.0000:           1:           0:           0:           1:           0:           0:
F...(.......:     0.20099:          96:          10:           9:           0:      1.0000:           1:           9:           2:           7:           0:           0:
F...(.../...:         0.0:          97:           3:           1:           0:      0.0000:           1:           2:           0:           1:           0:           0:
F...(...1...:    -0.40760:          98:           6:           4:           0:      1.0000:           0:           6:           1:           3:           0:           0:
F...(...2...:    -0.33487:          99:           4:           4:           0:      1.0000:           0:           4:           1:           3:           0:           0:
F...(...C...:         0.0:         100:           3:           3:           0:      0.0000:           1:           2:           0:           3:           0:           0:
F...(...F...:     1.16442:         101:           4:           3:           0:      1.0000:           1:           3:           1:           2:           0:           0:
F...........:     0.29866:         102:          10:           9:           0:      1.0000:           1:           9:           2:           7:           0:           0:
