The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.4639: 0.4312: 0.2432:    0.170:    0.260:    0.309
   2: 0.5627: 0.5352: 0.2395:    0.154:    0.245:    0.292
   3: 0.5709: 0.6358: 0.2935:    0.152:    0.238:    0.272
   4: 0.5793: 0.6619: 0.3904:    0.151:    0.236:    0.247
   5: 0.5790: 0.6558: 0.4212:    0.151:    0.237:    0.240
   6: 0.5850: 0.6650: 0.4163:    0.150:    0.236:    0.241
   7: 0.5919: 0.6636: 0.4254:    0.148:    0.235:    0.239
   8: 0.5958: 0.6645: 0.4241:    0.148:    0.235:    0.240
   9: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  10: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  11: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  12: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  13: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  14: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  15: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  16: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  17: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  18: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  19: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  20: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  21: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  22: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  23: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  24: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
  25: 0.5967: 0.6669: 0.4277:    0.148:    0.234:    0.239
