The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.3940: 0.3180: 0.1866:    0.181:    0.278:    0.304
   2: 0.4828: 0.3724: 0.2199:    0.167:    0.267:    0.305
   3: 0.5324: 0.4352: 0.2562:    0.159:    0.256:    0.289
   4: 0.5603: 0.4579: 0.3037:    0.154:    0.253:    0.272
   5: 0.5782: 0.5017: 0.3629:    0.151:    0.248:    0.254
   6: 0.5859: 0.5317: 0.4281:    0.149:    0.246:    0.239
   7: 0.5787: 0.5934: 0.4889:    0.151:    0.244:    0.228
   8: 0.5808: 0.5890: 0.5026:    0.150:    0.244:    0.225
   9: 0.5809: 0.5891: 0.5026:    0.150:    0.244:    0.225
  10: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  11: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  12: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  13: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  14: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  15: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  16: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  17: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  18: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  19: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  20: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  21: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  22: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  23: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  24: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
  25: 0.5801: 0.5878: 0.5077:    0.151:    0.244:    0.224
