This file contains the statistical classification of structural attributes (SA)



SMILES is used in the model
The classification is follows:
- if SA has CW(SA)>0 in all probes of the Monte Carlo optimization
then the SA is a promoter of the Endpoint increase (List 1)
- if SA has CW(SA)<0 in all probes of the Monte Carlo optimization
then the SA is a promoter of the Endpoint decrease (List 2)
- if SA has CW(SA)>0 together with CW(SA)<0 
then the role of SA is undefined (list 3)
- if SA is blocked, i.e., CW(SA)=0 
then the SA without of the model (list 4)

Each list is starting by No.=1, the ID is the numbering in total list of attributes.

N1, N2, and N3 are numbers of SMILES which contain SA 
in training, invisible training, and calibration sets, respectively

  No. :  ID : SAk        : CWs Probe 1: CWs Probe 2: CWs Probe 3:        N1  :        N2  :        N3  : Defect[SAk]:
     1:   44:2...(.......:     0.18077:     0.46936:     0.78379:          29:          29:           7:      0.0000
     2:  127:N...........:     0.36445:     0.50254:     0.26584:          29:          29:           7:      0.0000
     3:  176:c...(.......:     0.07452:     0.27117:     0.22626:          29:          29:           7:      0.0000
     4:  191:c...1.......:     0.39199:     0.32190:     1.11152:          29:          29:           7:      0.0000
     5:  195:c...1...c...:     1.24499:     0.47100:     0.91468:          29:          29:           7:      0.0000
     6:  199:c...2...c...:     2.14624:     1.21746:     0.20075:          29:          29:           7:      0.0000
     7:  214:c...c...2...:     0.28123:     0.22205:     1.22119:          29:          29:           7:      0.0000
     8:  216:c...c...c...:     0.16303:     0.40986:     0.22748:          29:          29:           7:      0.0000
     9:   49:2...c...1...:     1.45697:     1.35983:     1.05300:          27:          28:           6:      0.0022
    10:  178:c...(...2...:     2.09111:     1.45198:     0.36155:          26:          26:           6:      0.0012
    11:   64:C...(...=...:     0.22883:     1.43673:     0.57288:          25:          26:           6:      0.0002
    12:   31:/...........:     0.17024:     0.00600:     1.47072:          17:          12:           3:      0.0079
    13:   32:/...C...(...:     0.30927:     0.00191:     1.35265:          17:          12:           3:      0.0079
    14:   57:=...N...2...:     0.78215:     0.93111:     1.28957:          17:          12:           3:      0.0079
    15:   69:C.../...1...:     0.97319:     1.05151:     0.30362:          17:          12:           3:      0.0079
    16:  128:N...2...(...:     0.22361:     0.36794:     0.04476:          17:          12:           3:      0.0079
    17:  130:N...=...(...:     0.78976:     0.05813:     0.13496:          17:          12:           3:      0.0079
    18:  131:N...=.......:     0.29731:     0.08226:     0.52037:          17:          12:           3:      0.0079
    19:  170:\...O.......:     0.99324:     0.19430:     0.14026:          17:          12:           3:      0.0079
    20:   75:C...2.......:     0.03029:     0.23841:     0.13508:          14:          18:           4:      0.0049
    21:   62:C...(...1...:     1.81819:     1.09944:     1.45388:          12:          17:           2:      0.0091
    22:   71:C...1.......:     1.26484:     0.63723:     0.08502:          11:          16:           3:      0.0035
    23:   40:1...C...(...:     1.16050:     0.89285:     0.28909:          10:          16:           3:      0.0064
    24:   72:C...1...=...:     0.18906:     1.03471:     0.19398:          10:          16:           3:      0.0064
    25:   81:C...C...(...:     0.20031:     0.81317:     1.39253:          10:          16:           3:      0.0064
    26:  217:c...n...(...:     1.42814:     0.35526:     1.15882:          10:          16:           3:      0.0064
    27:  219:n...(.......:     0.10164:     0.01902:     1.10541:          10:          16:           3:      0.0064
    28:  220:n...(...c...:     0.12789:     2.12767:     0.05294:          10:          16:           3:      0.0064
    29:  221:n...........:     0.77973:     1.65148:     0.22280:          10:          16:           3:      0.0064
    30:  225:n...c.......:     0.53224:     0.93773:     0.50721:          10:          16:           3:      0.0064
    31:   47:2...C...1...:     0.06495:     1.41463:     1.29129:           9:          14:           2:      0.0022
