This file contains the statistical classification of structural attributes (SA)



SMILES is used in the model
The classification is follows:
- if SA has CW(SA)>0 in all probes of the Monte Carlo optimization
then the SA is a promoter of the Endpoint increase (List 1)
- if SA has CW(SA)<0 in all probes of the Monte Carlo optimization
then the SA is a promoter of the Endpoint decrease (List 2)
- if SA has CW(SA)>0 together with CW(SA)<0 
then the role of SA is undefined (list 3)
- if SA is blocked, i.e., CW(SA)=0 
then the SA without of the model (list 4)

Each list is starting by No.=1, the ID is the numbering in total list of attributes.

N1, N2, and N3 are numbers of SMILES which contain SA 
in training, invisible training, and calibration sets, respectively

  No. :  ID : SAk        : CWs Probe 1: CWs Probe 2: CWs Probe 3:        N1  :        N2  :        N3  : Defect[SAk]:
     1:   66:C...........:     0.01023:     0.16225:     0.37138:          29:          29:           7:      0.0000
     2:  127:N...........:     0.39016:     0.33564:     0.95242:          29:          29:           7:      0.0000
     3:  214:c...c...2...:     0.50540:     0.18746:     1.56015:          29:          29:           7:      0.0000
     4:  213:c...c...1...:     0.47420:     0.38366:     0.61792:          28:          28:           7:      0.0010
     5:  186:c...(...c...:     0.32992:     0.04780:     0.42881:          27:          27:           7:      0.0020
     6:  210:c...c...(...:     0.74675:     0.69402:     0.35323:          27:          27:           7:      0.0020
     7:  178:c...(...2...:     0.56434:     0.01639:     0.59135:          26:          26:           6:      0.0012
     8:   35:1...(.......:     0.08152:     0.16472:     0.76996:          23:          23:           4:      0.0082
     9:  196:c...2...(...:     0.92133:     0.67500:     0.99422:          21:          23:           7:      0.0099
    10:   32:/...C...(...:     0.39097:     1.35906:     1.27350:          17:          12:           3:      0.0079
    11:   38:1.../.......:     1.33251:     0.23578:     0.05616:          17:          12:           3:      0.0079
    12:   68:C.../.......:     0.24055:     0.45137:     0.54110:          17:          12:           3:      0.0079
    13:   69:C.../...1...:     0.95544:     0.54236:     1.04640:          17:          12:           3:      0.0079
    14:  130:N...=...(...:     0.26317:     0.60632:     1.20786:          17:          12:           3:      0.0079
    15:  166:\...........:     0.45897:     0.25038:     1.63814:          17:          12:           3:      0.0079
    16:  168:\...N...=...:     1.09017:     1.14939:     0.88304:          17:          12:           3:      0.0079
    17:    7:$10011000000:     1.88467:     0.29744:     3.14624:          13:          11:           3:      0.0012
    18:   82:C...C.......:     0.23390:     0.93347:     0.26191:          13:          18:           4:      0.0072
    19:   62:C...(...1...:     0.48776:     1.32768:     1.18098:          12:          17:           2:      0.0091
    20:   71:C...1.......:     0.12707:     1.19019:     0.58915:          11:          16:           3:      0.0035
    21:   84:C...C...2...:     1.22324:     0.19415:     2.13527:          11:          14:           3:      0.0035
    22:   40:1...C...(...:     1.13480:     0.03138:     1.64617:          10:          16:           3:      0.0064
    23:   55:=...1.......:     0.07153:     0.13106:     0.64161:          10:          16:           3:      0.0064
    24:   81:C...C...(...:     0.15870:     1.34175:     0.98408:          10:          16:           3:      0.0064
    25:  224:n...c...(...:     0.68790:     0.16400:     0.43756:          10:          16:           3:      0.0064
    26:   85:C...C...=...:     1.38833:     1.32505:     1.39601:           9:          14:           2:      0.0022
    27:  149:O...=.......:     0.32096:     0.72034:     1.89293:           9:           9:           2:      0.0022
    28:  203:c...C.......:     0.64619:     1.30769:     1.25146:           9:           7:           3:      0.0099
    29:  141:O...(.../...:     0.66380:     2.51327:     2.54870:           8:           6:           2:      0.0010
    30:  169:\...O...(...:     1.85051:     2.92096:     1.77392:           8:           6:           2:      0.0010
    31:  100:F...(...F...:     1.23138:     2.05528:     2.89378:           4:           3:           0:      1.0000
    32:  103:Br..(.......:     1.01228:     0.37284:     0.60466:           4:           3:           1:      0.0010
    33:  173:[O-]........:     1.17433:     1.78362:     1.15924:           4:           5:           1:      0.0010
    34:  108:Cl..(.......:     1.08414:     0.33322:     1.76030:           3:           3:           1:      0.0099
    35:  113:Cl..........:     1.87218:     0.06683:     3.18304:           3:           3:           1:      0.0099
    36:  116:HALO00100000:     1.19078:     0.75055:     1.43217:           3:           2:           0:      1.0000
     1:   54:=...........:    -0.14828:    -0.42178:    -0.53164:          29:          29:           7:      0.0000
     2:   92:BOND10000000:    -0.55175:    -0.26220:    -0.78192:          29:          24:           5:      0.0084
