The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.4843: 0.3972: 0.3255:    0.167:    0.264:    0.342
   2: 0.5882: 0.5231: 0.3469:    0.149:    0.242:    0.337
   3: 0.6040: 0.6050: 0.3848:    0.146:    0.230:    0.306
   4: 0.6197: 0.6496: 0.4068:    0.143:    0.226:    0.295
   5: 0.6342: 0.6901: 0.4208:    0.140:    0.221:    0.286
   6: 0.6342: 0.7272: 0.4292:    0.141:    0.218:    0.284
   7: 0.6423: 0.7737: 0.4550:    0.139:    0.214:    0.261
   8: 0.6436: 0.7657: 0.4838:    0.139:    0.217:    0.253
   9: 0.6425: 0.7739: 0.4867:    0.139:    0.216:    0.251
  10: 0.6357: 0.7875: 0.4988:    0.140:    0.216:    0.243
  11: 0.6429: 0.7944: 0.4945:    0.139:    0.215:    0.241
  12: 0.6517: 0.7790: 0.5100:    0.137:    0.216:    0.239
  13: 0.6493: 0.7855: 0.5104:    0.138:    0.216:    0.239
  14: 0.6516: 0.7845: 0.5107:    0.137:    0.215:    0.239
  15: 0.6516: 0.7845: 0.5107:    0.137:    0.215:    0.239
  16: 0.6516: 0.7845: 0.5107:    0.137:    0.215:    0.239
  17: 0.6516: 0.7845: 0.5107:    0.137:    0.215:    0.239
  18: 0.6516: 0.7845: 0.5107:    0.137:    0.215:    0.239
  19: 0.6516: 0.7845: 0.5107:    0.137:    0.215:    0.239
  20: 0.6516: 0.7845: 0.5107:    0.137:    0.215:    0.239
  21: 0.6516: 0.7845: 0.5107:    0.137:    0.215:    0.239
  22: 0.6516: 0.7845: 0.5107:    0.137:    0.215:    0.239
  23: 0.6516: 0.7845: 0.5107:    0.137:    0.215:    0.239
  24: 0.6516: 0.7845: 0.5107:    0.137:    0.215:    0.239
  25: 0.6516: 0.7845: 0.5107:    0.137:    0.215:    0.239
