

This file contains example of DCW-calculation

SMILES:  c1c(ccc2c1/C(=N\O)/C(=N2)c1c[nH]c2c1cc(cc2)Br)Br
Set (+):   training +; invisible training -; calibration #
Number of structure 1
CAS  1
Number of Monte Carlo optimization probe 2
Threshold 3
SMILES is used in the model

ID is the number of SMILES attribute (SA) in global list of SA
CW(SA) is the correlation weight for SA
NT is the number of SA in training set
NiT is the number of SA in invisible training set
NC is the number of SA in calibration set

 Structural :            :     :     :     :    
  attribute :   CW(SA)   : ID  : NT  : NiT : NC 
    (SA)    :            :     :     :     :    

c...........:      0.4762:  187:   29:   29:    7
1...........:      0.3998:   37:   29:   29:    7
c...........:      0.4762:  187:   29:   29:    7
(...........:     -0.3631:   20:   29:   29:    7
c...........:      0.4762:  187:   29:   29:    7
c...........:      0.4762:  187:   29:   29:    7
c...........:      0.4762:  187:   29:   29:    7
2...........:     -0.4963:   45:   29:   29:    7
c...........:      0.4762:  187:   29:   29:    7
1...........:      0.3998:   37:   29:   29:    7
/...........:      1.2546:   31:   17:   12:    3
C...........:      0.1623:   66:   29:   29:    7
(...........:     -0.3631:   20:   29:   29:    7
=...........:     -0.4218:   54:   29:   29:    7
N...........:      0.3356:  127:   29:   29:    7
\...........:      0.2504:  166:   17:   12:    3
O...........:      0.0761:  147:   28:   25:    5
(...........:     -0.3631:   20:   29:   29:    7
/...........:      1.2546:   31:   17:   12:    3
C...........:      0.1623:   66:   29:   29:    7
(...........:     -0.3631:   20:   29:   29:    7
=...........:     -0.4218:   54:   29:   29:    7
N...........:      0.3356:  127:   29:   29:    7
2...........:     -0.4963:   45:   29:   29:    7
(...........:     -0.3631:   20:   29:   29:    7
c...........:      0.4762:  187:   29:   29:    7
1...........:      0.3998:   37:   29:   29:    7
c...........:      0.4762:  187:   29:   29:    7
c...........:      0.4762:  187:   29:   29:    7
2...........:     -0.4963:   45:   29:   29:    7
c...........:      0.4762:  187:   29:   29:    7
1...........:      0.3998:   37:   29:   29:    7
