The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.4392: 0.3586: 0.2810:    0.174:    0.270:    0.361
   2: 0.6972: 0.6677: 0.3154:    0.128:    0.216:    0.361
   3: 0.7448: 0.7577: 0.4017:    0.117:    0.208:    0.328
   4: 0.7763: 0.7811: 0.4234:    0.110:    0.204:    0.318
   5: 0.7662: 0.7907: 0.4630:    0.112:    0.205:    0.315
   6: 0.7879: 0.7924: 0.4659:    0.107:    0.202:    0.326
   7: 0.7904: 0.8039: 0.4716:    0.106:    0.199:    0.325
   8: 0.7980: 0.8062: 0.4672:    0.104:    0.198:    0.333
   9: 0.8019: 0.8090: 0.4690:    0.103:    0.197:    0.335
  10: 0.8092: 0.8043: 0.4770:    0.101:    0.197:    0.335
  11: 0.8045: 0.8148: 0.4813:    0.103:    0.195:    0.335
  12: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
  13: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
  14: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
  15: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
  16: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
  17: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
  18: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
  19: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
  20: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
  21: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
  22: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
  23: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
  24: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
  25: 0.8067: 0.8127: 0.4830:    0.102:    0.196:    0.335
