The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.3836: 0.3100: 0.1804:    0.182:    0.279:    0.317
   2: 0.4699: 0.3745: 0.2224:    0.169:    0.266:    0.312
   3: 0.5334: 0.3913: 0.2504:    0.159:    0.263:    0.300
   4: 0.5360: 0.4372: 0.2711:    0.158:    0.257:    0.285
   5: 0.5357: 0.4539: 0.3288:    0.158:    0.255:    0.266
   6: 0.5393: 0.4687: 0.3417:    0.158:    0.252:    0.262
   7: 0.5488: 0.4996: 0.3582:    0.156:    0.248:    0.256
   8: 0.5663: 0.5377: 0.3451:    0.153:    0.241:    0.260
   9: 0.5703: 0.5528: 0.3494:    0.152:    0.240:    0.258
  10: 0.5748: 0.5745: 0.3473:    0.151:    0.238:    0.258
  11: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  12: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  13: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  14: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  15: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  16: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  17: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  18: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  19: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  20: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  21: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  22: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  23: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  24: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
  25: 0.5768: 0.5827: 0.3551:    0.151:    0.237:    0.256
