The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.3748: 0.4325: 0.1807:    0.184:    0.267:    0.294
   2: 0.4352: 0.5033: 0.2750:    0.175:    0.262:    0.276
   3: 0.4320: 0.5723: 0.3404:    0.175:    0.259:    0.258
   4: 0.4302: 0.6048: 0.3511:    0.175:    0.258:    0.255
   5: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
   6: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
   7: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
   8: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
   9: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  10: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  11: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  12: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  13: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  14: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  15: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  16: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  17: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  18: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  19: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  20: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  21: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  22: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  23: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  24: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
  25: 0.4227: 0.6190: 0.3520:    0.177:    0.259:    0.255
