The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.5570: 0.5073: 0.1821:    0.155:    0.244:    0.334
   2: 0.6448: 0.6765: 0.3200:    0.138:    0.215:    0.309
   3: 0.7088: 0.7615: 0.3756:    0.125:    0.207:    0.288
   4: 0.7388: 0.7558: 0.4645:    0.119:    0.207:    0.280
   5: 0.7479: 0.7521: 0.4767:    0.117:    0.209:    0.277
   6: 0.7433: 0.7586: 0.4971:    0.118:    0.208:    0.273
   7: 0.7508: 0.7656: 0.5001:    0.116:    0.207:    0.273
   8: 0.7501: 0.7725: 0.5051:    0.116:    0.207:    0.269
   9: 0.7547: 0.7661: 0.5208:    0.115:    0.208:    0.269
  10: 0.7611: 0.7729: 0.5203:    0.114:    0.204:    0.270
  11: 0.7652: 0.7762: 0.5178:    0.113:    0.204:    0.273
  12: 0.7649: 0.7719: 0.5431:    0.113:    0.206:    0.268
  13: 0.7704: 0.7799: 0.5333:    0.111:    0.203:    0.273
  14: 0.7714: 0.7833: 0.5313:    0.111:    0.201:    0.276
  15: 0.7721: 0.7802: 0.5359:    0.111:    0.202:    0.275
  16: 0.7745: 0.7742: 0.5403:    0.110:    0.203:    0.275
  17: 0.7745: 0.7742: 0.5403:    0.110:    0.203:    0.275
  18: 0.7745: 0.7742: 0.5403:    0.110:    0.203:    0.275
  19: 0.7745: 0.7742: 0.5403:    0.110:    0.203:    0.275
  20: 0.7745: 0.7742: 0.5403:    0.110:    0.203:    0.275
  21: 0.7745: 0.7742: 0.5403:    0.110:    0.203:    0.275
  22: 0.7745: 0.7742: 0.5403:    0.110:    0.203:    0.275
  23: 0.7745: 0.7742: 0.5403:    0.110:    0.203:    0.275
  24: 0.7745: 0.7742: 0.5403:    0.110:    0.203:    0.275
  25: 0.7745: 0.7742: 0.5403:    0.110:    0.203:    0.275
