The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.6536: 0.4984: 0.3109:    0.137:    0.241:    0.350
   2: 0.7611: 0.7088: 0.4964:    0.114:    0.208:    0.287
   3: 0.7608: 0.7665: 0.5580:    0.114:    0.203:    0.266
   4: 0.7617: 0.7761: 0.5766:    0.113:    0.204:    0.255
   5: 0.7664: 0.7913: 0.6040:    0.112:    0.202:    0.249
   6: 0.7690: 0.7962: 0.6179:    0.112:    0.202:    0.242
   7: 0.7791: 0.7980: 0.6390:    0.109:    0.202:    0.239
   8: 0.7888: 0.8025: 0.6480:    0.107:    0.200:    0.236
   9: 0.7883: 0.8052: 0.6487:    0.107:    0.200:    0.235
  10: 0.7918: 0.8039: 0.6479:    0.106:    0.200:    0.235
  11: 0.7913: 0.8043: 0.6512:    0.106:    0.200:    0.232
  12: 0.7974: 0.8050: 0.6626:    0.105:    0.200:    0.230
  13: 0.8029: 0.8084: 0.6615:    0.103:    0.200:    0.227
  14: 0.8051: 0.8043: 0.6686:    0.103:    0.200:    0.229
  15: 0.8051: 0.8055: 0.6686:    0.103:    0.200:    0.229
  16: 0.8051: 0.8055: 0.6686:    0.103:    0.200:    0.229
  17: 0.8051: 0.8055: 0.6686:    0.103:    0.200:    0.229
  18: 0.8051: 0.8055: 0.6686:    0.103:    0.200:    0.229
  19: 0.8051: 0.8055: 0.6686:    0.103:    0.200:    0.229
  20: 0.8051: 0.8055: 0.6686:    0.103:    0.200:    0.229
  21: 0.8051: 0.8055: 0.6686:    0.103:    0.200:    0.229
  22: 0.8051: 0.8055: 0.6686:    0.103:    0.200:    0.229
  23: 0.8051: 0.8055: 0.6686:    0.103:    0.200:    0.229
  24: 0.8051: 0.8055: 0.6686:    0.103:    0.200:    0.229
  25: 0.8051: 0.8055: 0.6686:    0.103:    0.200:    0.229
